zipcode,order,sorder,trend,AIC,BIC,CVRMSE
20002,"(2, 0, 2)","(0, 0, 2, 12)",,3881.4,3903.9,9.495961041776408e+28
20002,"(2, 0, 2)","(0, 1, 0, 12)",,3362.0,3378.4,64090.1
20002,"(2, 0, 2)","(0, 1, 1, 12)",,3308.0,3327.3,81595.6
20002,"(2, 0, 2)","(0, 1, 2, 12)",,2949.9,2972.0,2.421055664139463e+21
20002,"(2, 0, 2)","(1, 0, 0, 12)",,3098.9,3118.6,88180.2
20002,"(2, 0, 2)","(1, 0, 1, 12)",,3822.2,3845.2,120314.9
20002,"(2, 0, 2)","(1, 0, 2, 12)",,3501.2,3526.9,2948788841942179.5
20002,"(2, 0, 2)","(1, 1, 0, 12)",,3043.2,3062.5,152278.0
20002,"(2, 0, 2)","(1, 1, 1, 12)",,3113.6,3136.2,264706.7
20002,"(2, 0, 2)","(1, 1, 2, 12)",,2854.0,2879.2,3.737733052251847e+82
20002,"(2, 0, 2)","(2, 0, 0, 12)",,2917.9,2940.4,90064.3
20002,"(2, 0, 2)","(2, 0, 1, 12)",,3266.1,3291.9,4.4772223829759175e+33
20002,"(2, 0, 2)","(2, 0, 2, 12)",,3568.4,3597.3,28652119.9
20002,"(2, 0, 2)","(2, 1, 0, 12)",,2836.4,2858.5,150330.9
20002,"(2, 0, 2)","(2, 1, 1, 12)",,2861.2,2886.4,70646.6
20002,"(2, 0, 2)","(2, 1, 2, 12)",,2848.8,2877.2,26694973.6
20002,"(2, 1, 0)","(0, 0, 0, 12)",,3290.3,3300.3,58737.6
20002,"(2, 1, 0)","(0, 0, 1, 12)",,3133.4,3146.6,57297.4
20002,"(2, 1, 0)","(0, 0, 2, 12)",,2940.5,2956.6,25039764.0
20002,"(2, 1, 0)","(0, 1, 0, 12)",,3232.2,3242.0,65926.5
20002,"(2, 1, 0)","(0, 1, 1, 12)",,3044.5,3057.4,64320.9
20002,"(2, 1, 0)","(0, 1, 2, 12)",,2833.4,2849.1,814210569.1
20002,"(2, 1, 0)","(1, 0, 0, 12)",,3108.9,3122.1,57446.0
20002,"(2, 1, 0)","(1, 0, 1, 12)",,3092.8,3109.2,62601.6
20002,"(2, 1, 0)","(1, 0, 2, 12)",,2928.6,2947.9,25059299.2
20002,"(2, 1, 0)","(1, 1, 0, 12)",,3025.8,3038.6,57759.5
20002,"(2, 1, 0)","(1, 1, 1, 12)",,3025.4,3041.5,55930.1
20002,"(2, 1, 0)","(1, 1, 2, 12)",,2798.9,2817.8,25062152.8
